Anno;Municipio;Eta_capofamiglia;Genere_capofamiglia;Numero_componenti;Famiglie
2003;Municipio 3;Da 65 a 79 anni;Femmine;1;5119
2003;Municipio 3;Da 65 a 79 anni;Femmine;2;1336
2003;Municipio 3;Da 65 a 79 anni;Femmine;3;223
2003;Municipio 3;Da 65 a 79 anni;Femmine;4 e più;77
2003;Municipio 3;80 anni e più;Femmine;1;3730
2003;Municipio 3;80 anni e più;Femmine;2;559
2003;Municipio 3;80 anni e più;Femmine;3;79
2003;Municipio 3;80 anni e più;Femmine;4 e più;25
2003;Municipio 4;Da 18 a 34 anni;Maschi;1;2727
2003;Municipio 4;Da 18 a 34 anni;Maschi;2;1828
2003;Municipio 4;Da 18 a 34 anni;Maschi;3;961
2003;Municipio 4;Da 18 a 34 anni;Maschi;4 e più;523
2003;Municipio 4;Da 35 a 64 anni;Maschi;1;4967
2003;Municipio 4;Da 35 a 64 anni;Maschi;2;5559
2003;Municipio 4;Da 35 a 64 anni;Maschi;3;6540
2003;Municipio 4;Da 35 a 64 anni;Maschi;4 e più;6889
2003;Municipio 4;Da 65 a 79 anni;Maschi;1;1556
2003;Municipio 4;Da 65 a 79 anni;Maschi;2;6108
2003;Municipio 4;Da 65 a 79 anni;Maschi;3;1786
2003;Municipio 4;Da 65 a 79 anni;Maschi;4 e più;534
2003;Municipio 4;80 anni e più;Maschi;1;685
2003;Municipio 4;80 anni e più;Maschi;2;1574
2003;Municipio 4;80 anni e più;Maschi;3;211
2003;Municipio 4;80 anni e più;Maschi;4 e più;43
2003;Municipio 4;Da 18 a 34 anni;Femmine;1;2380
2003;Municipio 4;Da 18 a 34 anni;Femmine;2;898
2003;Municipio 4;Da 18 a 34 anni;Femmine;3;353
2003;Municipio 4;Da 18 a 34 anni;Femmine;4 e più;200
2003;Municipio 4;Da 35 a 64 anni;Femmine;1;5241
2003;Municipio 4;Da 35 a 64 anni;Femmine;2;3186
2003;Municipio 4;Da 35 a 64 anni;Femmine;3;1659
2003;Municipio 4;Da 35 a 64 anni;Femmine;4 e più;983
2003;Municipio 4;Da 65 a 79 anni;Femmine;1;6151
2003;Municipio 4;Da 65 a 79 anni;Femmine;2;1605
2003;Municipio 4;Da 65 a 79 anni;Femmine;3;274
2003;Municipio 4;Da 65 a 79 anni;Femmine;4 e più;95
2003;Municipio 4;80 anni e più;Femmine;1;3883
2003;Municipio 4;80 anni e più;Femmine;2;584
2003;Municipio 4;80 anni e più;Femmine;3;81
2003;Municipio 4;80 anni e più;Femmine;4 e più;27
2003;Municipio 5;Da 18 a 34 anni;Maschi;1;2389
2003;Municipio 5;Da 18 a 34 anni;Maschi;2;1587
2003;Municipio 5;Da 18 a 34 anni;Maschi;3;829
2003;Municipio 5;Da 18 a 34 anni;Maschi;4 e più;445
2003;Municipio 5;Da 35 a 64 anni;Maschi;1;4104
2003;Municipio 5;Da 35 a 64 anni;Maschi;2;4648
2003;Municipio 5;Da 35 a 64 anni;Maschi;3;5426
2003;Municipio 5;Da 35 a 64 anni;Maschi;4 e più;5673
2003;Municipio 5;Da 65 a 79 anni;Maschi;1;1185
2003;Municipio 5;Da 65 a 79 anni;Maschi;2;4668
2003;Municipio 5;Da 65 a 79 anni;Maschi;3;1419
2003;Municipio 5;Da 65 a 79 anni;Maschi;4 e più;430
2003;Municipio 5;80 anni e più;Maschi;1;421
2003;Municipio 5;80 anni e più;Maschi;2;961
2003;Municipio 5;80 anni e più;Maschi;3;128
2003;Municipio 5;80 anni e più;Maschi;4 e più;27
2003;Municipio 5;Da 18 a 34 anni;Femmine;1;1945
2003;Municipio 5;Da 18 a 34 anni;Femmine;2;735
2003;Municipio 5;Da 18 a 34 anni;Femmine;3;289
2003;Municipio 5;Da 18 a 34 anni;Femmine;4 e più;158
2003;Municipio 5;Da 35 a 64 anni;Femmine;1;4174
2003;Municipio 5;Da 35 a 64 anni;Femmine;2;2535
2003;Municipio 5;Da 35 a 64 anni;Femmine;3;1315
2003;Municipio 5;Da 35 a 64 anni;Femmine;4 e più;775
2003;Municipio 5;Da 65 a 79 anni;Femmine;1;4231
